School,YrLevel,Domain,Test Year,Test level,Jurisdiction Id,ACARA ID,PSI,Local school student ID,TAA student ID,Participation Code,Item Response,Test Id,Word Count,Date,StartTime
hbw1,3,Writing,2020,3,9,hbw1,HBW1-3-002,,,C,,x00165953,0,,
hbw1,7,Writing,2020,7,9,hbw1,HBW1-7-006,,,P,"<p><strong>a very first sentence</strong> in <em>red for user 3 is tested.</em></p>
<p>a<span style=""text-decoration:underline;""> very first sentence in red for user 3 is tested.</span></p>
<p><span style=""font-size:22px;"">a very first sentence</span> in red<span style=""font-size:28px;""> for user 3 is tested.</span></p>
<p style=""text-align:center;""><span style=""font-size:30px;"">a very first sentence in red for user 3 is tested.</span></p>
<ul>
<li>a very first sentence in red for user 3 is tested.</li>
<li>a very first sentence in red for user 3 is tested.</li>
<li>a very first sentence in red for user 3 is tested.</li>
</ul>
<ol>
<li>a very first sentence in red for user 3 is tested.</li>
<li>a very first sentence in red for user 3 is tested.</li>
<li>a very first sentence in red for user 3 is tested.</li>
</ol>
<p>cut copy paste tested.</p>
<p>a very first a very first&nbsp;sentence in red for user 3 is tested.</p>",x00165945,128,2020-11-02,13:56:13.2470000+00:00
hbw2,3,Writing,2020,3,9,hbw2,HBW2-3-010,,,C,,x00165953,0,,
hbw2,,Writing,2020,,9,hbw2,HBW2-7-014,,,C,,x00166767,0,,
hbw2,7,Writing,2020,7,9,hbw2,HBW2-7-028,,,C,,x00165944,0,,
lnb1,5,Writing,2020,5,9,lnb1,LNB1-5-002,,,P,,x00165942,0,2020-11-02,09:54:36.0800000+00:00
lnb1,,Writing,2020,,9,lnb1,LNB1-9-017,,,C,,x00166769,0,,
lnb2,,Writing,2020,,9,lnb2,LNB2-7-005,,,C,,x00166767,0,2020-11-13,10:31:26.2670000+00:00
hbw1,3,Writing,2020,3,9,hbw1,HBW1-3-003,,,C,,x00165953,0,,
hbw1,7,Writing,2020,7,9,hbw1,HBW1-7-007,,,P,"<p style=""text-align:center;""><strong><span style=""text-decoration:underline;""><em><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;font-size:24px;"">Narrative text</span></em></span></strong></p>
<p><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Write a narrative (story) about a big climb. Your story might be about characters climbing up, down, over, under, out, through or even away. It might involve overcoming a barrier or reaching a goal. You can use an idea on this page, or you can use your own idea about a big climb.</span></p>
<p><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Write a narrative (story) about a big climb. Your story might be about characters climbing up, down, over, under, out, through or even away. It might involve overcoming a barrier or reaching a goal. You can use an idea on this page, or you can use your own idea about a big climb.</span><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Write a narrative (story) about a big climb. Your story might be about characters climbing up, down, over, under, out, through or even away. It might involve overcoming a barrier or reaching a goal. You can use an idea on this page, or you can use your own idea about a big climb.</span></p>
<ol>
<li><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Write a narrative (story) about a big climb. </span></li>
<li><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Your story might be about characters climbing up, down, over, under, out, through or even away. </span></li>
<li><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">It might involve overcoming a barrier or reaching a goal. </span></li>
<li><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">You can use an idea on this page, or you can use your own idea about a big climb.</span></li>
</ol>
<p><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Write a narrative (story) about a big climb. Your story might be about characters climbing up, down, over, under, out, through or even away. It might involve overcoming a barrier or reaching a goal. You can use an idea on this page, or you can use your own idea about a big climb.</span><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Write a narrative (story) about a big climb. Your story might be about characters climbing up, down, over, under, out, through or even away. It might involve overcoming a barrier or reaching a goal. You can use an idea on this page, or you can use your own idea about a big climb.</span><span style=""font-family:&#39;Helvetica Neue&#39;, Helvetica, Arial, sans-serif;"">Write a narrative (story) about a big climb. Your story might be about characters climbing up, down, over, under, out, through or even away. It might involve overcoming a barrier or reaching a goal. You can use an idea on this page, or you can use your own idea about a big climb.</span></p>",x00165944,370,2020-10-27,10:12:28.8130000+00:00
